year,week,teamID,opp_teamID
2014,3,1,4
2014,3,4,1
2014,3,5,3
2014,3,3,5
2014,3,6,2
2014,3,2,6
2014,4,3,7
2014,4,7,3
2014,4,5,1
2014,4,1,5
2014,4,4,6
2014,4,6,4
2014,4,2,8
2014,4,8,2
2014,5,7,5
2014,5,5,7
2014,5,1,6
2014,5,6,1
2014,5,8,4
2014,5,4,8
2014,5,2,3
2014,5,3,2
2014,6,7,1
2014,6,1,7
2014,6,6,8
2014,6,8,6
2014,6,5,2
2014,6,2,5
2014,6,4,3
2014,6,3,4
2014,7,2,7
2014,7,7,2
2014,7,1,8
2014,7,8,1
2014,7,3,6
2014,7,6,3
2014,7,4,5
2014,7,5,4
2014,8,7,4
2014,8,4,7
2014,8,2,1
2014,8,1,2
2014,8,8,3
2014,8,3,8
2014,8,6,5
2014,8,5,6
2014,9,6,7
2014,9,7,6
2014,9,1,3
2014,9,3,1
2014,9,4,2
2014,9,2,4
2014,9,5,8
2014,9,8,5
2014,10,8,7
2014,10,7,8
2014,10,4,1
2014,10,1,4
2014,10,3,5
2014,10,5,3
2014,10,2,6
2014,10,6,2
2014,11,7,3
2014,11,3,7
2014,11,1,5
2014,11,5,1
2014,11,6,4
2014,11,4,6
2014,11,8,2
2014,11,2,8
2014,12,5,7
2014,12,7,5
2014,12,6,1
2014,12,1,6
2014,12,4,8
2014,12,8,4
2014,12,3,2
2014,12,2,3
2014,13,1,7
2014,13,7,1
2014,13,8,6
2014,13,6,8
2014,13,2,5
2014,13,5,2
2014,13,3,4
2014,13,4,3
2015,1,5,7
2015,1,7,5
2015,1,1,2
2015,1,2,1
2015,1,8,3
2015,1,3,8
2015,1,4,6
2015,1,6,4
2015,2,7,6
2015,2,6,7
2015,2,8,1
2015,2,1,8
2015,2,2,5
2015,2,5,2
2015,2,3,4
2015,2,4,3
2015,3,7,3
2015,3,3,7
2015,3,1,5
2015,3,5,1
2015,3,4,8
2015,3,8,4
2015,3,6,2
2015,3,2,6
2015,4,8,7
2015,4,7,8
2015,4,4,1
2015,4,1,4
2015,4,5,6
2015,4,6,5
2015,4,2,3
2015,4,3,2
2015,5,7,4
2015,5,4,7
2015,5,1,6
2015,5,6,1
2015,5,3,5
2015,5,5,3
2015,5,2,8
2015,5,8,2
2015,6,7,1
2015,6,1,7
2015,6,6,3
2015,6,3,6
2015,6,4,2
2015,6,2,4
2015,6,5,8
2015,6,8,5
2015,7,2,7
2015,7,7,2
2015,7,1,3
2015,7,3,1
2015,7,8,6
2015,7,6,8
2015,7,5,4
2015,7,4,5
2015,8,5,7
2015,8,7,5
2015,8,1,2
2015,8,2,1
2015,8,8,3
2015,8,3,8
2015,8,4,6
2015,8,6,4
2015,9,7,6
2015,9,6,7
2015,9,8,1
2015,9,1,8
2015,9,2,5
2015,9,5,2
2015,9,3,4
2015,9,4,3
2015,10,7,3
2015,10,3,7
2015,10,1,5
2015,10,5,1
2015,10,4,8
2015,10,8,4
2015,10,6,2
2015,10,2,6
2015,11,8,7
2015,11,7,8
2015,11,4,1
2015,11,1,4
2015,11,5,6
2015,11,6,5
2015,11,2,3
2015,11,3,2
2015,12,7,4
2015,12,4,7
2015,12,1,6
2015,12,6,1
2015,12,3,5
2015,12,5,3
2015,12,2,8
2015,12,8,2
2015,13,7,1
2015,13,1,7
2015,13,6,3
2015,13,3,6
2015,13,4,2
2015,13,2,4
2015,13,5,8
2015,13,8,5
2016,1,5,7
2016,1,7,5
2016,1,1,2
2016,1,2,1
2016,1,8,3
2016,1,3,8
2016,1,4,6
2016,1,6,4
2016,2,7,6
2016,2,6,7
2016,2,8,1
2016,2,1,8
2016,2,2,5
2016,2,5,2
2016,2,3,4
2016,2,4,3
2016,3,7,3
2016,3,3,7
2016,3,1,5
2016,3,5,1
2016,3,4,8
2016,3,8,4
2016,3,6,2
2016,3,2,6
2016,4,8,7
2016,4,7,8
2016,4,4,1
2016,4,1,4
2016,4,5,6
2016,4,6,5
2016,4,2,3
2016,4,3,2
2016,5,7,4
2016,5,4,7
2016,5,1,6
2016,5,6,1
2016,5,3,5
2016,5,5,3
2016,5,2,8
2016,5,8,2
2016,6,7,1
2016,6,1,7
2016,6,6,3
2016,6,3,6
2016,6,4,2
2016,6,2,4
2016,6,5,8
2016,6,8,5
2016,7,2,7
2016,7,7,2
2016,7,1,3
2016,7,3,1
2016,7,8,6
2016,7,6,8
2016,7,5,4
2016,7,4,5
2016,8,5,7
2016,8,7,5
2016,8,1,2
2016,8,2,1
2016,8,8,3
2016,8,3,8
2016,8,4,6
2016,8,6,4
2016,9,7,6
2016,9,6,7
2016,9,8,1
2016,9,1,8
2016,9,2,5
2016,9,5,2
2016,9,3,4
2016,9,4,3
2016,10,7,3
2016,10,3,7
2016,10,1,5
2016,10,5,1
2016,10,4,8
2016,10,8,4
2016,10,6,2
2016,10,2,6
2016,11,8,7
2016,11,7,8
2016,11,4,1
2016,11,1,4
2016,11,5,6
2016,11,6,5
2016,11,2,3
2016,11,3,2
2016,12,7,4
2016,12,4,7
2016,12,1,6
2016,12,6,1
2016,12,3,5
2016,12,5,3
2016,12,2,8
2016,12,8,2
2016,13,7,1
2016,13,1,7
2016,13,6,3
2016,13,3,6
2016,13,4,2
2016,13,2,4
2016,13,5,8
2016,13,8,5
2017,1,5,7
2017,1,7,5
2017,1,1,2
2017,1,2,1
2017,1,8,3
2017,1,3,8
2017,1,4,6
2017,1,6,4
2017,2,7,6
2017,2,6,7
2017,2,8,1
2017,2,1,8
2017,2,2,5
2017,2,5,2
2017,2,3,4
2017,2,4,3
2017,3,7,3
2017,3,3,7
2017,3,1,5
2017,3,5,1
2017,3,4,8
2017,3,8,4
2017,3,6,2
2017,3,2,6
2017,4,8,7
2017,4,7,8
2017,4,4,1
2017,4,1,4
2017,4,5,6
2017,4,6,5
2017,4,2,3
2017,4,3,2
2017,5,7,4
2017,5,4,7
2017,5,1,6
2017,5,6,1
2017,5,3,5
2017,5,5,3
2017,5,2,8
2017,5,8,2
2017,6,7,1
2017,6,1,7
2017,6,6,3
2017,6,3,6
2017,6,4,2
2017,6,2,4
2017,6,5,8
2017,6,8,5
2017,7,2,7
2017,7,7,2
2017,7,1,3
2017,7,3,1
2017,7,8,6
2017,7,6,8
2017,7,5,4
2017,7,4,5
2017,8,5,7
2017,8,7,5
2017,8,1,2
2017,8,2,1
2017,8,8,3
2017,8,3,8
2017,8,4,6
2017,8,6,4
2017,9,7,6
2017,9,6,7
2017,9,8,1
2017,9,1,8
2017,9,2,5
2017,9,5,2
2017,9,3,4
2017,9,4,3
2017,10,7,3
2017,10,3,7
2017,10,1,5
2017,10,5,1
2017,10,4,8
2017,10,8,4
2017,10,6,2
2017,10,2,6
2017,11,8,7
2017,11,7,8
2017,11,4,1
2017,11,1,4
2017,11,5,6
2017,11,6,5
2017,11,2,3
2017,11,3,2
2017,12,7,4
2017,12,4,7
2017,12,1,6
2017,12,6,1
2017,12,3,5
2017,12,5,3
2017,12,2,8
2017,12,8,2
2017,13,7,1
2017,13,1,7
2017,13,6,3
2017,13,3,6
2017,13,4,2
2017,13,2,4
2017,13,5,8
2017,13,8,5
2018,1,5,7
2018,1,7,5
2018,1,1,2
2018,1,2,1
2018,1,8,3
2018,1,3,8
2018,1,4,6
2018,1,6,4
2018,2,7,6
2018,2,6,7
2018,2,8,1
2018,2,1,8
2018,2,2,5
2018,2,5,2
2018,2,3,4
2018,2,4,3
2018,3,7,3
2018,3,3,7
2018,3,1,5
2018,3,5,1
2018,3,4,8
2018,3,8,4
2018,3,6,2
2018,3,2,6
2018,4,8,7
2018,4,7,8
2018,4,4,1
2018,4,1,4
2018,4,5,6
2018,4,6,5
2018,4,2,3
2018,4,3,2
2018,5,7,4
2018,5,4,7
2018,5,1,6
2018,5,6,1
2018,5,3,5
2018,5,5,3
2018,5,2,8
2018,5,8,2
2018,6,7,1
2018,6,1,7
2018,6,6,3
2018,6,3,6
2018,6,4,2
2018,6,2,4
2018,6,5,8
2018,6,8,5
2018,7,2,7
2018,7,7,2
2018,7,1,3
2018,7,3,1
2018,7,8,6
2018,7,6,8
2018,7,5,4
2018,7,4,5
2018,8,5,7
2018,8,7,5
2018,8,1,2
2018,8,2,1
2018,8,8,3
2018,8,3,8
2018,8,4,6
2018,8,6,4
2018,9,7,6
2018,9,6,7
2018,9,8,1
2018,9,1,8
2018,9,2,5
2018,9,5,2
2018,9,3,4
2018,9,4,3
2018,10,7,3
2018,10,3,7
2018,10,1,5
2018,10,5,1
2018,10,4,8
2018,10,8,4
2018,10,6,2
2018,10,2,6
2018,11,8,7
2018,11,7,8
2018,11,4,1
2018,11,1,4
2018,11,5,6
2018,11,6,5
2018,11,2,3
2018,11,3,2
2018,12,7,4
2018,12,4,7
2018,12,1,6
2018,12,6,1
2018,12,3,5
2018,12,5,3
2018,12,2,8
2018,12,8,2
2018,13,7,1
2018,13,1,7
2018,13,6,3
2018,13,3,6
2018,13,4,2
2018,13,2,4
2018,13,5,8
2018,13,8,5
