"y","w","t","pts"
2015,5,2,140.5
2015,5,3,115.5
2015,5,4,90.5
2015,5,5,95
2015,5,6,87.5
2015,5,7,104.5
2015,5,8,134.5
2015,6,1,94.5
2015,6,2,143.5
2015,6,3,142
2015,6,4,126.5
2015,6,5,98
2015,6,6,84
2015,6,7,85.5
2015,6,8,105.5
2015,7,1,114
2015,7,2,116.5
2015,7,3,106
2015,7,4,108.5
2015,7,5,69.5
2015,7,6,131
2015,7,7,101.5
2015,7,8,163
2015,8,1,99
2015,8,2,99.5
2015,8,3,71.5
2015,8,4,130.5
2015,8,5,114.5
2015,8,6,114
2015,8,7,114.5
2015,8,8,107.5
2015,9,1,107.5
2015,9,2,75
2015,9,3,139.5
2015,9,4,142.5
2015,9,5,97.5
2015,9,6,127.5
2015,9,7,100
2015,9,8,97.5
2015,10,1,92.5
2015,10,2,51
2015,10,3,82.5
2015,10,4,92
2015,10,5,80.5
2015,10,6,94.5
2015,10,7,89.5
2015,10,8,92
2015,11,1,92
2015,11,2,75.5
2015,11,3,58
2015,11,4,103.5
2015,11,5,71.5
2015,11,6,104
2015,11,7,87.5
2015,11,8,117
2015,12,1,100.5
2015,12,2,135
2015,12,3,80
2015,12,4,91.5
2015,12,5,117.5
2015,12,6,134
2015,12,7,85.5
2015,12,8,126.5
2015,13,1,95.5
2015,13,2,61
2015,13,3,163
2015,13,4,71.5
2015,13,5,120.5
2015,13,6,77.5
2015,13,7,153.5
2015,13,8,131
2016,1,1,113
2016,1,2,127
2016,1,3,103.5
2016,1,4,126
2016,1,5,89
2016,1,6,143
2016,1,7,109
2016,1,8,136
2016,2,1,122.5
2016,2,2,88.5
2016,2,3,117.5
2016,2,4,134
2016,2,5,114
2016,2,6,85.5
2016,2,7,122
2016,2,8,65.5
2016,3,1,127
2016,3,2,84
2016,3,3,110
2016,3,4,117
2016,3,5,102.5
2016,3,6,76.5
2016,3,7,145.5
2016,3,8,134.5
2016,4,1,108.5
2016,4,2,73.5
2016,4,3,116.5
2016,4,4,89
2016,4,5,112
2016,4,6,133.5
2016,4,7,166
2016,4,8,113.5
2016,5,1,124.5
2016,5,2,114
2016,5,3,142.5
2016,5,4,141
2016,5,5,59.5
2016,5,6,84
2016,5,7,123.5
2016,5,8,124.5
2016,6,1,142
2016,6,2,87
2016,6,3,100
2016,6,4,118
2016,6,5,73
2016,6,6,118
2016,6,7,141.5
2016,6,8,85
2016,7,1,84.5
2016,7,2,111.5
2016,7,3,123
2016,7,4,92.5
2016,7,5,97
2016,7,6,114
2016,7,7,50.5
2016,7,8,139
2016,8,1,124.5
2016,8,2,137
2016,8,3,147.5
2016,8,4,122.5
2016,8,5,62.5
2016,8,6,100.5
2016,8,7,119
2016,8,8,123.5
2016,9,1,145
2016,9,2,109
2016,9,3,136
2016,9,4,107
2016,9,5,66.5
2016,9,6,101
2016,9,7,116
2016,9,8,120
2016,10,1,118
2016,10,2,100
2016,10,3,128.5
2016,10,4,153.5
2016,10,5,118
2016,10,6,131.5
2016,10,7,84
2016,10,8,125
2016,11,1,112.5
2016,11,2,110.5
2016,11,3,162
2016,11,4,108.5
2016,11,5,75.5
2016,11,6,122
2016,11,7,61.5
2016,11,8,90
2016,12,1,104.5
2016,12,2,75.5
2016,12,3,152.5
2016,12,4,121
2016,12,5,76.5
2016,12,6,98.5
2016,12,7,153.5
2016,12,8,138.5
2016,13,1,111
2016,13,2,83.5
2016,13,3,122
2016,13,4,135.5
2016,13,5,127
2016,13,6,79
2016,13,7,126.5
2016,13,8,125
2017,1,1,98.5
2017,1,2,99
2017,1,3,75.5
2017,1,4,91.5
2017,1,5,82.5
2017,1,6,77.5
2017,1,7,95.5
2017,1,8,87
2017,2,1,119.5
2017,2,2,83.5
2017,2,3,156
2017,2,4,83.5
2017,2,5,134
2017,2,6,55
2017,2,7,100.5
2017,2,8,67
2017,3,1,98
2017,3,2,107.5
2017,3,3,128
2017,3,4,91.5
2017,3,5,129
2017,3,6,100.5
2017,3,7,97
2017,3,8,162
2017,4,1,91
2017,4,2,104
2017,4,3,115.5
2017,4,4,107
2017,4,5,159.5
2017,4,6,135.5
2017,4,7,82
2017,4,8,131
2017,5,1,124
2017,5,2,130
2017,5,3,86
2017,5,4,112
2017,5,5,114.5
2017,5,6,102
2017,5,7,80
2017,5,8,113
2017,6,1,119.5
2017,6,2,80.5
2017,6,3,86.5
2017,6,4,127
2017,6,5,108
2017,6,6,90.5
2017,6,7,129
2017,6,8,103.5
2017,7,1,98.5
2017,7,2,113.5
2017,7,3,121
2017,7,4,119.5
2017,7,5,85.5
2017,7,6,90.5
2017,7,7,114
2017,7,8,136.5
2017,8,1,74
2017,8,2,72.5
2017,8,3,108.5
2017,8,4,144.5
2017,8,5,128
2017,8,6,84.5
2017,8,7,91
2017,8,8,97.5
2017,9,1,77.5
2017,9,2,91
2017,9,3,109
2017,9,4,86.5
2017,9,5,131.5
2017,9,6,77.5
2017,9,7,118.5
2017,9,8,116.5
2017,10,1,78
2017,10,2,101.5
2017,10,3,116
2017,10,4,111
2017,10,5,120.5
2017,10,6,100
2017,10,7,125
2017,10,8,85.5
2017,11,1,100
2017,11,2,83.5
2017,11,3,117.5
2017,11,4,146
2017,11,5,124.5
2017,11,6,68.5
2017,11,7,151
2017,11,8,75.5
2017,12,1,NA
2017,12,2,NA
2017,12,3,NA
2017,12,4,NA
2017,12,5,NA
2017,12,6,NA
2017,12,7,NA
2017,12,8,NA
2017,13,1,0
2017,13,2,0
2017,13,3,0
2017,13,4,0
2017,13,5,0
2017,13,6,0
2017,13,7,0
2017,13,8,0
2017,12,1,115.5
2017,12,2,56
2017,12,3,93.5
2017,12,4,86
2017,12,5,140.5
2017,12,6,127.5
2017,12,7,125.5
2017,12,8,102
2017,13,1,0
2017,13,2,0
2017,13,3,0
2017,13,4,0
2017,13,5,0
2017,13,6,0
2017,13,7,0
2017,13,8,0
