"k","revert","playoff_revert","score"
7.5,0.1,0.1,119.784659099864
7.5,0.1,0.2,119.420956717034
7.5,0.1,0.3,119.149402013248
7.5,0.1,0.4,118.954778225267
7.5,0.1,0.5,118.825774934369
7.5,0.1,0.6,118.754094996529
7.5,0.1,0.7,118.733769405123
7.5,0.1,0.8,118.760628417143
7.5,0.1,0.9,118.831890060511
7.5,0.2,0.1,119.557894510002
7.5,0.2,0.2,119.289568786354
7.5,0.2,0.3,119.087388720014
7.5,0.2,0.4,118.942761054865
7.5,0.2,0.5,118.849066298991
7.5,0.2,0.6,118.801276074884
7.5,0.2,0.7,118.795643355296
7.5,0.2,0.8,118.829450862481
7.5,0.2,0.9,118.900805804614
7.5,0.3,0.1,119.417740412278
7.5,0.3,0.2,119.21870973331
7.5,0.3,0.3,119.068149904982
7.5,0.3,0.4,118.961360561433
7.5,0.3,0.5,118.894585913642
7.5,0.3,0.6,118.86486541926
7.5,0.3,0.7,118.869905804779
7.5,0.3,0.8,118.907971464142
7.5,0.3,0.9,118.977790514523
7.5,0.4,0.1,119.348345370142
7.5,0.4,0.2,119.199351047395
7.5,0.4,0.3,119.086677641622
7.5,0.4,0.4,119.007883171109
7.5,0.4,0.5,118.960938529563
7.5,0.4,0.6,118.94417719538
7.5,0.4,0.7,118.956249371622
7.5,0.4,0.8,118.996080425242
7.5,0.4,0.9,119.062833322277
7.5,0.5,0.1,119.338365808522
7.5,0.5,0.2,119.224826909733
7.5,0.5,0.3,119.139155784548
7.5,0.5,0.4,119.08020747638
7.5,0.5,0.5,119.046985655308
7.5,0.5,0.6,119.038629598013
7.5,0.5,0.7,119.054401500067
7.5,0.5,0.8,119.093674287378
7.5,0.5,0.9,119.155919967842
7.5,0.6,0.1,119.379803398939
7.5,0.6,0.2,119.290293658119
7.5,0.6,0.3,119.222722515203
7.5,0.6,0.4,119.176687511357
7.5,0.6,0.5,119.151810158114
7.5,0.6,0.6,119.147733836401
7.5,0.6,0.7,119.164121828414
7.5,0.6,0.8,119.200655514091
7.5,0.6,0.9,119.257032700966
7.5,0.7,0.1,119.467154652452
7.5,0.7,0.2,119.392317468728
7.5,0.7,0.3,119.335281877414
7.5,0.7,0.4,119.29607311434
7.5,0.7,0.5,119.274686120489
7.5,0.7,0.6,119.271084450869
7.5,0.7,0.7,119.285199796568
7.5,0.7,0.8,119.316932099066
7.5,0.7,0.9,119.366150194195
7.5,0.8,0.1,119.59678218874
7.5,0.8,0.2,119.528557634753
7.5,0.8,0.3,119.475353704928
7.5,0.8,0.4,119.437444338092
7.5,0.8,0.5,119.415053204095
7.5,0.8,0.6,119.408350808182
7.5,0.8,0.7,119.417452468643
7.5,0.8,0.8,119.442417196381
7.5,0.8,0.9,119.483247467368
7.5,0.9,0.1,119.766448119839
